target,text
0,kind miss train co asthma attack nxt one half hr drive sure park
0,r meet
0,rose red red blood blood heart heart u send ti ur friend includ u like u get back r poor relat need 1 support r frnd 2 mani luv u some1 pray god marri tri
0,carlo say mu lt gt minut
0,si lor juz watch italian job
0,dont shall buy one dear
0,mayb fat finger press button know
0,miss call caus yell scrappi miss ca wait u come home lone today
1,urgent 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
0,boo time u get u suppos take shop today
0,aldrin rakhesh ex rtm
0,book lesson msg call work sth go get spec membership px3748
1,freemsg claim ur 250 sm ok 84025 use web2mobil 2 ur mate etc join c box139 la32wu 16 remov txtx stop
0,join today
0,k k yesterday cbe
0,dear sleep
0,sent part
0,yeah ju rite
0,good even ttyl
1,free entri weekli competit text word win 80086 18 c
0,reach home n bath liao u call
0,solihul want anyth
0,much buzi
1,cash prize claim call09050000327 c rstm sw7 3ss 150ppm
0,dunno let go learn pilat
0,today dedic day song u dedic send ur valuabl frnd first rpli
0,oh yah never cancel leh haha
1,xclusiv clubsaisai 2morow soire special zouk nichol rose 2 ladi info
0,haha dont angri take practic real thing
1,got take 2 take part wrc ralli oz u lucozad energi text ralli le 61200 25p see pack itcould u
0,exactli anyway far jide studi visit
0,lol forgot eh ye bring babe
1,peopl dog area call 09090204448 join like mind guy arrang 1 1 even minapn ls278bb
0,get cash togeth text jason
0,dear good morn feel dear
0,got like lt gt get later though get whatev feel like
0,school start stay weather like food social support system like friend school thing import
0,keep payasam rinu bring
0,k readi lt gt
0,like cheap happi splash wine make feel better
1,u secret admir look 2 make contact r reveal think ur
1,wan na laugh tri mobil logon txting word chat send 8883 cm po box 4217 london w1a 6zf rcvd
0,imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck
0,ur chang 2 da report big co alreadi made chang 2 da previou report
0,yar lor wan 2 go c hors race today mah eat earlier lor ate chicken rice u
0,affidavit say lt gt e twigg st divis g courtroom lt gt lt time gt doubl check text tomorrow
0,rather promin bite mark right cheek
0,ever green quot ever told jerri cartoon person irrit u alway one love u vri much fail express gud nyt
0,kate
0,still around could use
0,see thought
0,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
0,still area restaur ill tri come back soon
1,2nd time tri 2 contact u pound prize 2 claim easi call 087187272008 now1 10p per minut
0,miss ya need ya want ya love ya
0,hey charl sorri late repli
0,hen night go swing
1,winner special select receiv cash award speak live oper claim call cost 10p
0,come day class
0,fuck juswok bed boatin dock slept wid 25 year old spinout giv u da gossip l8r
0,
0,sir hope day go smoothli realli hope wont bother bill ca settl month extra cash know challeng time also let know
0,probabl lt gt
0,mm ye dear look hug
0,add realli care ca least get dude fuck hey money want
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
0,batteri mr adewal uncl aka egbon
0,pain thought happi toughest thing earth
0,realli need shit tomorrow know wo awak like 6
0,also rememb get dobbi bowl car
0,sister belong 2 famili hope tomorrow pray 4 fate 4 shoranur train incid let hold hand togeth amp fuell love amp concern prior 2 grief amp pain pl join di chain amp pass stop violenc women
0,one power weapon 2 occupi place other
0,ya told ask wat matter
0,lt gt
0,ambrith madurai met u arun dha marrg remembr
0,tmrw im finish 9 door
1,hope enjoy new content text stop 61610 unsubscrib provid
0,hi darlin im missin u hope good time u back time u give call home jess xx
0,miss
0,ummmmmaah mani mani happi return day dear sweet heart happi birthday dear
0,darl sister school resum minimum wait period reappli take care
0,tell pain de
0,u miss someon
0,probabl around mu lot
0,one joy lifei wake daywith thought somewheresomeon care enough tosend warm morn greet
0,yeah go bore depress sittin waitin phone ring hope wind drop though scari
0,well leav class babe never came back hope nice sleep love
0,need say anyth know outsid
0,well know mean text
0,sorri flake last night shit serious goin roommat tonight
0,dont show far put new pictur facebook
0,enufcredeit ileav uni 6 bu yor hous
0,oh k placement ah
0,crazi ar marri ìï like gd look guy fren like say korean leona fave dun thk aft think mayb prob go
0,aathi dear
0,hai ana tomarrow come morn lt decim gt ill sathi go rto offic repli came home
0,nope watch tv home go v bore
0,hey book 2 lesson sun liao
0,lol take member said aunt flow visit 6 month caus develop ovarian cyst bc way shrink
1,urgent tri contact today draw show prize guarante call 09066358361 land line claim y87 valid 12hr
0,pl go ahead watt want sure great weekend abiola
0,cant u tri new invent fli
0,teach app da come colleg
1,4mth half price orang line rental latest camera phone 4 free phone 11mth call mobilesdirect free 08000938767 updat or2stoptxt
0,feb lt gt love day send di ur valu evn 3 come back u gt marri person u luv u ignor di u lose ur luv 4 evr
0,tell happen dont behav like ok need say
0,love start feel need everi time around first thing come would start day end everi time everi breath life happen around life name would cri give happi take readi fight anyon love craziest thing proov anyon girl beauti ladi whole alway sing prais start make chicken curri end maki beauti get everi morn thank god day would like say lot tell later
0,final came fix ceil
0,ìï readi call
0,happi new year u ur famili may new year bring happi stabil tranquil ur vibrant colour life
0,fact leav think addi goe back school tue wed
0,lol know awesom phone could click delet right want
0,yup song bro creativ neva test qualiti said check review onlin
0,av new number wil u use one ta
0,derek done class
0,lol u drunkard hair moment yeah still 4 tonight wat plan
0,yeah get unlimit
1,like tell deepest darkest fantasi call 09094646631 stop text call 08712460324 nat rate
0,lol enjoy role play much
1,tone club sub expir 2 repli monoc 4 mono polyc 4 poli 1 weekli 150p per week txt stop 2 stop msg free stream 0871212025016
0,yeah sure give coupl minut track wallet
0,bu leav lt gt
0,ca speak bcaz mobil problem listen listen voic call later
0,great never better day give even reason thank god
1,83039 uk break accommodationvouch term condit appli 2 claim mustprovid claim number 15541
1,credit top http renew pin tgxxrz
0,dear free messag without recharg hi hi hi
0,wat
1,prize go anoth custom c polo ltd suit 373 london w1j 6hl pleas call back busi
0,reason team budget avail last buy unsold player base rate
0,got divorc lol
0,ye realli great bhaji told kalli best cricket sachin world tough get
0,thinkin someon good drug
0,ranjith cal drpd deeraj deepak 5min hold
0,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
0,hello yeah got bath need hair come done yeah
0,bull plan go float ikea without care world live mess anoth day
0,pl help tell sura expect batteri hont pl send messag download movi thank
0,scotland hope show jjc tendenc take care live dream
0,sunni california weather cool
0,pleas sen kind advic pleas come tri
0,see
0,eat fo lunch senor
0,e msg ju u said thank gift
0,better still catch let ask sell lt gt
0,yeah get random dude need chang info sheet parti lt gt never studi safe
0,hi love goe day fuck morn woke drop cell way stair seem alright phew miss
0,ga station go
0,go 4 e normal pilat intro
0,juz rememb got ta bath dog today
0,call messag miss call
0,nah man car meant cram full peopl
0,put readi lt time gt
1,ur chanc win cash everi wk txt action c custcar 08712405022
0,got call landlin number ask come anna nagar go afternoon
0,free call sir
0,futur plan tomorrow result today best present enjoy futur
0,alway braini one
0,umma say anyth
0,bishan lei tot say lavend
1,hmv bonu special 500 pound genuin hmv voucher answer 4 easi question play send hmv 86688 info
0,year mani mile
0,thought prap meant anoth one goodo look tomorrow
0,could work reach consensu next meet
0,sorri call later meet
0,pleassssssseeeee tel v avent done sportsx
1,valentin day special win quiz take partner trip lifetim send go 83600 rcvd
0,sent type food like
0,oki wan meet bishan co bishan drive today
0,ok lor
0,babe need advic
0,ìï call dad oredi
0,easi mate guess quick drink bit ambiti
1,get offici england poli rington colour flag yer mobil tonight game text tone flag optout txt eng stop box39822 w111wx
0,right meanwhil project twin comin
0,call number avail appoint ask connect call wahe fathima
0,holi live christ take long
0,bother trust answer pl
0,hey happi birthday
0,dear deni word pleas
0,outsid offic take
0,tire argu week week want
0,manag puzzel
0,leav
0,watch tv got new job
0,congratul ore mo owo wa enjoy wish mani happi moment fro wherev go
0,ah poop look like ill prob send laptop get fix cuz gpu problem
0,absolut love south park recent start watch offic
0,sorri ca help
0,ye care caus know
0,hang brother famili
0,omg could snow tonit
0,use foreign stamp countri
0,busi
0,come correct good look figur
0,hi babe im home wan na someth xx
0,good good job like entrepreneur
0,like new mobil
0,7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st love good morn dear
0,told tell stupid hear wont tell anyth dad call brother spoken
0,r mani model soni ericson also der lt gt luk good bt forgot modl
0,happi new year melodi
0,make girl happi difficult make girl happi u need friend companion lover chef lt gt good listen lt gt organ lt gt good boyfriend lt gt clean lt gt sympathet lt gt athlet lt gt warm lt gt courag lt gt determin lt gt true lt gt depend lt gt intellig lt gt psychologist lt gt pest extermin lt gt psychiatrist lt gt healer lt gt stylist lt gt driver aaniy pudunga venaam
0,send resum
0,hey leav big deal take care
0,hmph go head big baller
0,got ga money chanc gang want go grand natur adventur
0,sir late pay rent past month pay lt gt charg felt would inconsider nag someth give great cost didnt speak howev recess wont abl pay charg month henc askin well ahead month end pleas help thank
0,cheer messag zogtoriu iåõv stare phone age decid whether text
0,k u bore come home
0,one teach ship car
0,shuhui bought ron present swatch watch
0,oh fine tonight
1,stop bootydeli invit friend repli see stop send stop frnd 62468
1,sport fan get latest sport news str 2 ur mobil 1 wk free plu free tone txt sport 8007 norm
0,4 oclock mine bash flat plan
0,work ah den 6 plu lor u workin oso rite den go orchard lor place go liao
1,dear voucher holder 2 claim week offer pc go http ts cs stop text txt stop 80062
0,sorri left phone upstair ok might hectic would bird one fell swoop date
0,watch cartoon listen music amp eve go templ amp church u
0,hmmm k want chang field quickli da wan na get system administr network administr
0,aiyar sorri lor forgot 2 tell u
1,wamma get laid want real doggin locat sent direct mobil join uk largest dog network txt dog 69696 nyt ec2a 3lp
0,thank honey great day
0,oh half hour much longer syria canada eh wow must get much work done day us extra time grin
1,congratul thank good friend u xma prize 2 claim easi call 08718726978 10p per minut
0,near kalainar tv
1,urgent mobil number award prize guarante call 09061790126 land line claim valid 12hr 150ppm
0,wat r u
0,well welp sort semiobscur internet thing
1,shop till u drop either 10k 5k cash travel voucher call ntt po box cr01327bt fixedlin cost 150ppm mobil vari
0,ic lol play 9 door sometim yo
0,oki
0,ok lor town lei
0,well pattern emerg friend tell drive come smoke tell weed smoke thing see hesit
0,ok come home
0,alright thank advic enjoy night tri get sleep
0,dun b sad dun thk abt alreadi concentr ur paper k
0,okey dokey bit sort stuff
0,day ask anand number
0,honeybe said sweetest world god laugh amp said wait u havnt met person read msg moral even god crack joke
0,late
0,see swing bit got thing take care firsg
0,peopl mu tabl lambda
0,see forward messag proof
0,dear call accomod
0,ye fine
0,haha hope hear receipt sound gd luck
0,ok care text drive
0,valentin know earli hundr handsom beauti wish thought finish aunti uncl 1st
0,bank say money
0,noth
1,brand new mobil music servic live free music player arriv shortli instal phone brows content top artist
0,think far find check googl map place dorm
0,call make sure dat woken
0,hiya comin 2 bristol 1 st week april le got rudi new yr eve drunk u bak colleg yet work send ink 2 bath
0,u make fb list
0,dont kick coco
0,fine hope good take care
0,black shirt n blue jean thk c
0,medic mission nigeria
1,contract mobil 11 mnth latest motorola nokia etc free doubl min text orang tariff text ye callback remov record
0,tast fish curri
0,suck go u hair free right
0,siva hostel aha
0,hello lover goe new job happi think wake slave send teas kiss across sea
1,want new video phone 600 anytim network min 400 inclus video call download 5 per week free deltomorrow call 08002888812 repli
0,come right ahmad
0,gud mrng dear nice day
0,mean post wrote like mani time ritten stuff let sit feel time angri left hit send stop check phone got car said sleep bore would time clean fold laundri least make bed
0,thank keep mind
0,thought put back box
0,specialis work slave labor look month sha co shakara 4 beggar
0,k u also dont msg repli msg
1,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care 07821230901
0,trust even
0,e admin build might b slightli earlier call u reach
0,lol u still feel sick
1,import custom servic announc call freephon 0800 542 0825
0,honey sweetheart darl sexi bun sugar plum loverboy miss boytoy smack ass go gym
0,thanx birthday alreadi
0,mayb westshor hyde park villag place near hous
0,dai da send resum id
0,feel like tri kadeem v
0,shall get pouch
0,thk 530 lor dunno get ticket wat u
1,txt call 86888 claim reward 3 hour talk time use phone inc 3hr 16 stop txtstop
0,
0,problem renew right away dont know detail
0,chill anoth 6hr could sleep pain surgic emerg see unfold okay
0,fishrman woke earli mrng dark wait amp found sack ful stone strtd throwin thm in2 sea 2 pass time atlast ju 1stone sun rose amp found tht r nt stone diamond moral wake earli mrng good night
0,thank understand tri tell sura
0,mum go robinson alreadi
0,buy today ìï need c meh
0,yo there class tmrw right
0,mmmmmm love much ahmad ca wait year begin everi second take closer side happi new year love
0,kalli home home town durban
0,ok
1,cash prize claim call09050000327
0,thought see
0,amaz rearrang letter give mean dormitori dirti room astronom moon starer eye see elect result lie let recount woman hitler eleven plu two plu one amaz
0,da good good unsold
0,fine give call know want question
0,chile pleas lt decim gt hour drive come time sublet audit season
0,check wid corect spele sarcasm
0,go thru differ decis cope heal everyth believ
0,yar lor actual quit fast co da ge slow wat haha
0,thought king hill thing
0,oh ic thought meant mari jane
0,hi jon pete ive bin 2 spain recent hav sum dinero left bill said u ur åôrent mayb interest hav around tb jame
1,rgent 2nd attempt contact u u call 09071512433 b4 050703 csbcm4235wc1n3xx callcost 150ppm mobilesvari 50
0,check head drop stuff
0,anyth lar
0,stop get ice cream go back
0,u awak snow
0,wan na gym harri
0,ìï mean confirm tot juz say oni ok
1,eastend tv quiz flower dot compar violet tulip lili txt e f 84025 4 chanc 2 win cash
0,thanx lot 4 ur help
0,ya one slow poo
0,read gud habit nan bari hudgi yorg pataistha ertini kano
0,askd u question hour answer
0,got lt gt
0,dont search love let love find that call fall love bcoz u dont forc u fall u know smeon hold u bslvyl
0,got home babe still awak
0,prabha soryda reali frm heart sori
0,unfortun found pick sister airport even think go tri go one th
0,shall come get pickl
0,heard abt tat
0,oh way food fridg want go meal tonight
0,gosh pain spose better come
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
0,wait call
0,ye babi studi posit kama sutra
0,stay town
0,go colleg els ill come self pa
0,one best dialogu cute reltnship die
0,cool want go kappa meet outsid mu
0,end might still vomit okay everyth come
1,sexi sexi cum text im wet warm readi porn u fun msg free recd msg 150p inc vat 2 cancel text stop
0,yep pretti sculptur
0,pandi join 4w technolog got job
0,togeth thinkin
0,meet call later
1,xxxmobilemovieclub use credit click wap link next txt messag click http
0,bring got
0,stupid auto correct phone
0,goin workout lor muz lose e fat
0,cant talk call keep call
0,bookedth hut also time way
0,gud care
0,borderlin yeah whatev
0,birthday feb lt gt da
0,excel spent lt gt year air forc iraq afghanistan stabl honest like travel
0,sure time tho sure get librari class tri see point good eve
1,urgent 2nd attempt contact prize yesterday still await collect claim call acl03530150pm
0,done c
0,time tell friend around
1,pleas call 08712402902 immedi urgent messag wait
0,pleas protect sib never ask sensit inform like password pin thru email never share password anybodi
0,u noe wat time e place dat sell 4d close
0,gon na home soon want talk stuff anymor tonight k cri enough today
0,ok ìï finish soon
0,ard 530 lor ok messag lor
0,hey darlin pick u colleg u tell wen 2 mt love pete xx
1,marvel mobil play offici ultim game ur mobil right text spider 83338 game send u free 8ball wallpap
0,oki
0,hey guy know breath neck get bud anyway abl get half track usf tonight
0,sorri man accident left phone silent last night check til got
0,helloooo wake full gud
0,would u fuckin believ didnt know thur pre book cancel need b sack
0,hiya u like hlday pic look horribl took mo how camp amrca thing speak soon serena
0,mum hope great day hope text meet well full life great day abiola
0,like person size
0,dont let studi stress l8r
1,doubl min txt 4 6month free bluetooth orang avail soni nokia motorola phone call mobileupd8 08000839402
0,r go send
1,bought one rington get text cost 3 pound offer tone etc
1,auction round highest bid next maximum bid bid send bid 10 bid good luck
0,u turn heater heater set lt gt degre
0,way go back
0,heehe funni tho
0,actual decid hungri left yet v
1,privat 2003 account statement 07753741225 show 800 point call 08715203677 identifi code 42478 expir
0,work ring u thing whole hous scream brat pull hair love u
0,god pick flower dippeditinadew lovingli touch itwhichturnedinto u gift tomeandsaid friend 4u
0,stalk u
0,mean u could keep ur word
0,yeah fact ask need anyth like hour ago much
0,text carlo let know hang
1,win urgent mobil number award prize guarante call 09061790121 land line claim 3030 valid 12hr 150ppm
0,hey tmr meet bugi 930
0,much would cost hire hitman
0,ye possibl dint tri pl dont tell one k
0,way
0,neft transact refer number lt gt rs lt decim gt credit beneficiari account lt gt lt time gt lt gt
0,tri get lost fact tee hee
0,tell think plu go stop run
0,use soc use home ìï dunno 2 type word ar
0,call plz number show coveragd area urgnt call vasai amp reach 4 clock call plz
1,remind o2 get pound free call credit detail great offer pl repli 2 text valid name hous postcod
0,awak oh
0,xam hall boy ask girl tell start term di answer den manag lot hesit n lookin around silent said intha ponnungal ipaditan
0,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli
1,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468
0,pl confirm time collect chequ
0,new year plan
0,intrepid duo great time see soon
0,u lousi run alreadi come back half dead hee
0,u dogbreath sound like jan c thatåõ al
0,oh u must taken real valentin shop first
0,yeah open chat click friend list make list easi pie
0,yo parent gettin cash good news pick downstem
0,dear mood cant drive brother drive
0,work mon thur sat cant leh book liao day u free
0,great
0,stupid say challeng dont think write instead respond im
0,actual delet old websit blog
0,okay name ur price long legal wen pick u ave x am xx
1,loan purpos even bad credit tenant welcom call 08717111821
0,insid offic still fill know leav
1,wo believ true incred txt repli g learn truli amaz thing blow mind o2fwd
1,discount code rp176781 stop messag repli stop custom servic 08717205546
0,congrat treat mail 2 mail mother mail
0,hi neva worri bout da truth coz truth lead 2 ur heart itåõ least uniqu person like u deserv sleep tight morn
0,yeah tri scroung someth
0,da what plan
0,jokin lar depend phone father get lor
0,haf combin n c lor
